상품군별(1),상품군별(2),판매매체별(1),2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09 p),2023.10 p)
,,모바일쇼핑,557289,496403,578305,527740,565994,544587,564752,586206,577839,616337,637539,628739,661379,818795,893130,739491,810135,811922,859709,930650,872005,832138,850550,972945,937168,827468,939547,903636,942760,928866,980315,968416,965710,986740,982339,1082015,1009969,1030010,1117067,1014713,1042289,1050942,1070471,1125672,1027467,1003354,1037034,1061634,1009120,965283,1077482,1014111,1118909,1094899,1127346,1130892,1075764,1160403
자동차 및 자동차용품,소계,계,96468,79857,106893,97417,106336,98707,97304,112212,169793,106702,159418,115796,119312,153960,196688,129962,141621,268300,169968,186481,194519,156100,214287,193706,144194,161497,358890,193664,407472,533645,184325,308862,357732,224602,380749,286386,249773,239228,428203,281298,386618,460078,285057,449185,535692,254958,376497,303059,232867,234908,358721,265801,306513,515527,289572,329753,578353,409619
,,인터넷쇼핑,35085,29204,43395,39003,43129,39230,38768,50770,94800,42339,92297,49755,69172,104608,140500,67820,71543,197464,93627,121090,122303,86151,122181,104771,68962,95979,284379,108441,319303,446434,100515,228381,264858,108271,230004,131942,122962,126179,299320,146491,236838,313997,137567,337645,400860,113650,215230,156337,104598,112112,225769,130562,159756,369330,146697,186948,439323,267234
,,모바일쇼핑,61383,50653,63498,58413,63207,59477,58536,61443,74993,64363,67121,66041,50140,49352,56188,62142,70078,70836,76341,65391,72216,69949,92106,88935,75232,65518,74510,85223,88169,87211,83810,80481,92873,116331,150745,154444,126811,113049,128883,134807,149781,146081,147490,111541,134833,141307,161267,146722,128269,122796,132952,135239,146757,146196,142875,142805,139030,142385
가구,소계,계,284702,273700,309508,288266,289865,274041,266896,279352,291520,324803,329462,323767,305596,375440,435871,398746,397567,392272,379171,406125,443504,446688,443711,487828,473875,434696,497188,442887,434575,429089,425914,427867,420552,451944,453877,479119,443447,471839,479206,422155,428438,417486,406712,434127,404486,430957,434580,424118,414847,447252,476132,420198,439741,426161,437287,446043,412465,464978
,,인터넷쇼핑,96792,89084,104367,99194,103232,93606,93750,93136,92330,100944,105773,104115,93010,116061,130124,122267,120344,117566,115979,117632,127333,128626,131046,143312,128857,115346,136085,121451,116616,121642,117128,115256,107186,119614,124021,128053,116632,117676,119796,111747,112886,104616,103858,109655,100226,112709,116228,117393,105219,114583,128330,113929,114096,114457,113153,116529,106240,116934
,,모바일쇼핑,187910,184617,205141,189071,186633,180435,173145,186216,199190,223859,223689,219652,212586,259379,305747,276478,277223,274706,263192,288493,316171,318062,312666,344516,345018,319350,361103,321435,317959,307447,308786,312611,313366,332330,329856,351067,326815,354163,359410,310407,315552,312870,302854,324472,304260,318247,318352,306725,309627,332669,347801,306269,325645,311704,324134,329515,306225,348043
애완용품,소계,계,72818,65332,73144,75924,77463,77825,77944,77351,82670,88768,86415,87025,114253,116642,126326,126422,126839,128447,138220,136638,139446,144256,145601,160729,158243,138320,158226,155935,158686,159458,165141,169974,165238,175109,174413,184107,177733,168671,187911,178881,187260,188453,188491,200771,191623,196094,200351,206826,201856,186777,209932,199582,212517,210403,214422,220822,206513,224024
,,인터넷쇼핑,20185,19901,21791,24066,24044,22063,22177,21988,25333,25295,23474,24735,26134,26502,29056,30436,28951,30076,31989,30187,30765,32149,33422,35220,32380,28542,33127,32268,31206,31730,32936,33839,30591,35561,35331,34234,34080,27665,30451,29017,31084,30259,28889,33145,30441,38629,38736,40944,37952,36167,40474,37339,39994,40417,38662,41370,36683,41764
,,모바일쇼핑,52633,45431,51353,51858,53419,55761,55767,55364,57337,63472,62941,62290,88118,90140,97271,95985,97888,98370,106231,106451,108682,112108,112179,125510,125863,109777,125099,123666,127480,127728,132206,136135,134647,139547,139082,149873,143652,141006,157459,149863,156175,158193,159601,167625,161181,157464,161614,165881,163904,150610,169458,162243,172523,169986,175760,179452,169830,182260
